concept_name,concept_type,primary_category,paper_count
coreset selection,method,cs.CV,1
cooperative multi-agent reinforcement learning (marl,task,cs.LG,1
convolutional kernels,model,cs.CV,1
convnext,model,cs.CV,1
conversational role attribution,task,cs.CL,1
controlled synthetic completions,task,cs.CL,1
controlled dialogue prompts,task,cs.CL,1
control-variate adjustment,method,cs.LG,1
counterfactual supervision,method,cs.CL,1
damped resonators,model,cs.CL,1
cybersecurity,application,cs.CR,1
cwe attribution,task,cs.SE,1
custom operators,method,cs.AR,1
curvature,metric,cs.CV,1
curriculum learning,method,cs.LG,1
curator review,tool,eess.SP,1
curation,task,cs.CR,1
curated corpus,dataset,cs.CY,1
cultural variation,risk,cs.CY,1
cross-entropy training,other,cs.RO,1
cultural alignment,theory,cs.CL,1
crossmodal retrieval,task,cs.CV,1
cross-validation,method,cs.CL,1
cross-temporal generalization,task,cs.LG,1
cross-task transfer,theory,cs.CV,1
cross-source exact-match check,metric,cs.LG,1
cross-scanner validation,other,cs.CV,1
cross-page reasoning,method,cs.CV,1
cross-modal transformer,model,cs.CL,1
cross-frequency coupling,task,eess.SP,1
cross-episode memory,method,cs.LG,1
cultural heritage preservation,theory,cs.AI,1
confidence interval,method,cs.CL,1
cone machinery,task,cs.CV,1
conditional total correlation,theory,cs.CL,1
conditional dialect group invariance (cdgi,theory,cs.CL,1
conditional dependencies,theory,cs.LG,1
condition encoding,task,cs.CV,1
conciseness,metric,cs.CL,1
conceptual structure,theory,cs.CY,1
concept representation,task,cs.CL,1
computational sensing,task,cs.AI,1
contrastive vision-encoder training,method,cs.CV,1
compression failure,risk,cs.CL,1
compression,task,cs.LG,1
compositional reasoning,task,cs.AI,1
composite quality score (q,metric,cs.AI,1
completion-style datasets,dataset,cs.CL,1
completeness,metric,cs.CL,1
competitive-ratio,metric,econ.TH,1
common weakness enumeration (cwe,task,cs.LG,1
common vulnerabilities and exposures (cve,task,cs.LG,1
commercially available starting materials,metric,cs.LG,1
commercial apis,application,cs.CV,1
computational imaging,task,cs.AI,1
contrastive ranking objectives,method,cs.CL,1
continuous-query,method,cs.CL,1
continuous-integration,tool,eess.SP,1
continued pre-training,method,cs.AI,1
continuation probability,model,cs.CL,1
continual pretraining,method,cs.CL,1
contextual transformation,task,cs.CL,1
contextual expansion,method,cs.CV,1
context-rich reviser,method,cs.AI,1
context-parallel,method,cs.CV,1
contamination-awareness,other,cs.SE,1
confidence intervals,metric,cs.CL,1
constraint-guided llm generation,method,cs.SE,1
constraint-aware reinforcement learning,theory,cs.AI,1
constrained exploration,task,cs.HC,1
constrained decoding,task,cs.LG,1
constrained decoding,method,cs.SE,1
conspiratorial actors,task,cs.CL,1
consolidation,task,cs.LG,1
consensus-based defense,other,cs.CR,1
confusion matrix,metric,cs.LG,1
conformal prediction,theory,cs.LG,1
confidence-scheduled verification,method,cs.AI,1
contact-rich quadruped,application,cs.RO,1
dual-llm intersection pipeline,method,cs.SE,1
drift,risk,cs.LG,1
downstream metric,metric,cs.CL,1
downstream evaluation,metric,cs.LG,1
doob h-transform,theory,cs.LG,1
domain-specific foundation models,model,cs.LG,1
domain knowledge base,dataset,cs.SE,1
domain knowledge,risk,cs.AI,1
domain adaptation,task,cs.AI,1
domain adaptation,method,cs.CV,1
dann,method,cs.CL,1
diversity regularizer,method,cs.CV,1
diversity and concentration metrics,metric,cs.AI,1
diversity,metric,cs.CL,1
distributional sensitivity,risk,cs.AI,1
distribution shift,risk,cs.CV,1
distributed sparse interventions,method,cs.LG,1
distillation,method,cs.SD,1
distillation,method,cs.CL,1
dissipative systems,task,cs.RO,1
displacement structure,metric,cs.CL,1
disentangled representation,model,cs.LG,1
document visual question answering,task,cs.CV,1
electronic medical records,application,cs.CL,1
electronic healthcare records (ehr,application,cs.CL,1
electroacoustic quantitative measurement,method,cs.SD,1
elastic modulus,metric,cond-mat.mtrl-sci,1
eigenvalue clipping,method,cs.LG,1
effort-based decision-making,task,cs.LG,1
efficient inference,method,cs.LG,1
effective rank,metric,cs.LG,1
effective dimension,metric,stat.ML,1
eeg,application,cs.LG,1
editing for safety,application,cs.CL,1
dual-stage guidance mechanism,method,cs.CV,1
ecg reconstruction,task,cs.LG,1
ecg anonymization,application,cs.CR,1
early-exit guided predictive prefetching,method,cs.CL,1
dynamic-programming pass,method,cs.CL,1
dynamic voltage frequency scaling,tool,cs.PF,1
dynamic tool-orchestration engine,tool,cs.AI,1
dynamic structural sparsification,method,cs.CV,1
dynamic preferences,method,cs.LG,1
dynamic interaction,task,cs.AI,1
dynamic evolution,method,cs.CL,1
dynamic clipping,method,cs.LG,1
edge cases,risk,cs.SE,1
depth-free,theory,cs.CV,1
depth router,tool,cs.AI,1
deployment simulation,method,cs.LG,1
deployment pipeline,method,cs.LG,1
dense process reward,metric,cs.LG,1
denoising,task,cs.CL,1
delta-style networks,model,cs.LG,1
delegation,task,cs.CL,1
defended-claims gate,tool,cs.CL,1
deepfake image detection,task,cs.CV,1
discrete token vocabulary,task,cs.RO,1
decision protocols,method,cs.MA,1
de novo structure elucidation,method,cs.LG,1
dataset type,task,cs.CL,1
dataset,dataset,cs.CL,1
datamanager,tool,cs.AI,1
database storage decoding,task,cs.DB,1
data storage and processing,task,cs.CR,1
data reuse,method,cs.LG,1
data lock-in,risk,cs.DB,1
data extraction,task,cs.CL,1
data curation,task,cs.CL,1
decoupled progressive expert supervision,method,cs.LG,1
discrete motion latent codes,model,cs.RO,1
discrete autoregressive generation,theory,eess.AS,1
direct preference optimization (dpo,method,cs.LG,1
direct on-policy distillation,method,cs.LG,1
dimensional metric grouping,method,cs.SE,1
digital twin,application,cs.AI,1
digital humanities,application,cs.AI,1
digital cardiac assessment,application,cs.LG,1
diffusion samplers,model,cs.LG,1
diffusion model,model,cs.LG,1
diffusion model,model,cs.CL,1
design structure matrices (dsms,task,cs.AI,1
differentiable asr model,model,cs.CL,1
difference-in-differences,method,cs.CL,1
dialectal robustness,metric,cs.CL,1
dialect bias,risk,cs.CL,1
diagnostic evaluation,method,cs.CL,1
devsecops,application,cs.CR,1
deviation,metric,cs.CY,1
detr-style span decoder,model,cs.CL,1
deterministic mate transformations,method,cs.AI,1
detection robustness,metric,cs.CV,1
detection power,metric,stat.ML,1
differentiable graph reasoning,other,cs.CL,1
attack path identification,task,cs.CR,1
atomic actions,task,cs.AI,1
atmospheric scattering model,model,cs.CV,1
asynchronous reinforcement learning,method,cs.LG,1
ast-based code mutation,method,cs.LG,1
association metric,metric,cs.CL,1
asr robustness,metric,cs.CL,1
aspect-based sentiment analysis,task,cs.CL,1
argument-level policy,theory,cs.CR,1
area under the receiver operating characteristic curve (auc,metric,cs.CL,1
coherence,metric,cs.CL,1
approval-framed delegation,other,cs.AI,1
apache arrow buffers,metric,cs.DB,1
antisemitic events,task,cs.CL,1
anti-pattern detection,tool,cs.SE,1
answer-driven reasoning,risk,cs.AI,1
answer generation,task,cs.CL,1
anov,method,eess.SP,1
annotation guidelines,theory,cs.CL,1
anhedonia,risk,cs.LG,1
anatomical validation,other,cs.CV,1
analytical workflow,application,cs.AI,1
architectural inductive biases,theory,cs.LG,1
axiomatic assembly specification,theory,cs.AI,1
awareness functionals,tool,cs.HC,1
autoregressive decoding,task,cs.CL,1
autoregressive decoding,method,cs.AI,1
autonomy framework,theory,cs.IR,1
autonomous exploration,method,cs.AI,1
autonomous coding agent,tool,cs.AI,1
automatic speech recognition (asr,tool,cs.CL,1
automatic speech recognition,task,cs.CL,1
automated evaluation,tool,cs.CL,1
autoformalization,task,cs.CL,1
attention,theory,cs.CL,1
authorization gateway,tool,cs.CR,1
auditable engineering cascade,application,eess.SP,1
auditability,risk,cs.AI,1
audio-text llm,model,cs.CL,1
audio understanding,metric,cs.CL,1
auc,metric,cs.CV,1
attribution scores,metric,cs.CL,1
attention-output probes,metric,cs.AI,1
attention-limited measurement process,theory,cs.AI,1
attention-based detectors,tool,cs.CV,1
attention mechanisms,model,cs.LG,1
auto-fix,method,cs.SE,1
wasserstein distance,metric,cs.LG,1
vulnerability detection,task,cs.SE,1
voxel features,model,cs.CV,1
voxcpm2,other,cs.SD,1
visual-token representations,model,cs.CV,1
visual-question-answering,task,cs.CV,1
visual-action alignment reward,other,cs.AI,1
visual token pruning,task,cs.CV,1
visual reasoning,task,cs.CV,1
visual reasoning,method,cs.AI,1
analytical jacobian,method,cs.CL,1
activation,tool,cs.HC,1
acoustic modulation,method,eess.AS,1
accuracy transition,task,cs.LG,1
accuracy,metric,cs.CL,1
accuracy,metric,cs.AI,1
acceptance rate,metric,cs.CL,1
ablated models,model,cs.SE,1
1d u-net,model,cs.CR,1
1-regularization,method,stat.ML,1
zero-shot vision-language models (llms,model,cs.CV,1
advantage-weighted compactness,method,cs.AI,1
activation dispersion,metric,cs.CL,1
alignment criterion,metric,cs.CL,1
alignment amplification,theory,cs.CL,1
activation overflow,risk,cs.LG,1
zero-shot nli,method,cs.CL,1
zero-shot learning,method,cs.CL,1
zero-shot evaluation,other,cs.CV,1
zero-shot attack,other,cs.CV,1
zero-shot,theory,cs.LG,1
zero-day detection,task,cs.CR,1
yolov5,model,cs.LG,1
xor synergy control,tool,cs.AI,1
watermarking,application,stat.ML,1
working memory,model,cs.HC,1
word-level control,task,eess.AS,1
word error rate,metric,cs.CL,1
white-box attack,method,cs.LG,1
whisper,model,cs.CL,1
wer,metric,cs.SD,1
weight decay,method,cs.LG,1
weak-to-strong generalization,task,cs.LG,1
weak models,model,cs.LG,1
wavelet scattering transform,method,eess.SP,1
watermarking,method,cs.CR,1
worst-case protection,risk,econ.TH,1
classical morphology,theory,cs.SD,1
clarity,metric,cs.CL,1
cider 0.5iou,metric,cs.CV,1
ci/cd workflow,task,cs.SE,1
chi-square law,theory,cs.LG,1
chemical plausibility,metric,cs.LG,1
character-level language modeling,application,cs.LG,1
channel adaptation,method,cs.CV,1
change detection,task,cs.AI,1
chamfer distance,metric,cs.CV,1
b-rep geometric evidence,method,cs.AI,1
chain-of-thought,other,cs.CL,1
cer,metric,cs.SD,1
centroid,model,cs.CV,1
cell-wise,task,cs.LG,1
causal mechanism,theory,cs.LG,1
causal localization,method,cs.CL,1
causal functions,model,cs.CL,1
capacity allocation,method,cs.CL,1
candidate diversity mechanism,theory,cs.LG,1
camera-centric action,task,cs.CV,1
calibration-free online error tracking,method,cs.AI,1
chain-of-thought,task,cs.AI,1
cognitive states,task,cs.HC,1
cognitive bias,risk,cs.CL,1
coding agents,other,cs.LG,1
code parsing,metric,cs.LG,1
coarse-to-fine retrieval,method,cs.CL,1
coalition value,metric,cs.AI,1
clustered standard errors,metric,cs.CL,1
cloze-style masked language modeling,method,cs.CL,1
closed-loop simulator,tool,cs.LG,1
closed-loop program synthesis,method,cs.CL,1
closed-loop feedback,method,cs.AI,1
classification,task,cs.CV,1
clinicalragengine,tool,cs.AI,1
clinicalorchestrator,tool,cs.AI,1
clinical validation,application,cs.CV,1
clinical research,application,cs.CL,1
clinical consultations,dataset,cs.CL,1
clinical alignment metric,metric,cs.LG,1
click-centric refinement,method,cs.CV,1
clean tool-use rate,metric,cs.CL,1
classifier-free guidance (cfg,task,cs.LG,1
classifier discrimination score (cds,metric,cs.LG,1
classification metrics,metric,cs.AI,1
clip,method,cs.LG,1
bias correction,task,cs.LG,1
bias,risk,cs.CL,1
beta nll regression,method,cs.CL,1
best-arm identification,task,cs.LG,1
benchmark,theory,cs.CL,1
benchmark,other,cs.SE,1
benchmark,other,cs.CL,1
benchmark,other,cs.AI,1
benchmark,metric,cs.CV,1
benchmark,metric,cs.CL,1
calibration-free,theory,cs.CV,1
behavioral profile,task,cs.AI,1
behavioral control,task,cs.LG,1
behavior leverage imbalance,theory,cs.CL,1
bccd dataset,dataset,cs.LG,1
bayesian optimization,method,cond-mat.mtrl-sci,1
bayesian ceiling,metric,cs.LG,1
barrier-conditioning,method,cs.LG,1
barbet,other,cs.SD,1
band-gap regimes,task,cs.CL,1
balanced accuracy,metric,cs.CL,1
backend-specific energy attribution,metric,cs.AR,1
belief updating,theory,cs.HC,1
calibration,task,cs.AI,1
calibrated gate,tool,cs.AI,1
cad generation,application,cs.AI,1
byte-pair encoding (bpe,method,cs.CL,1
brain age,metric,cs.LG,1
bradley--terry log-odds,model,cs.AI,1
boundary-aware span representations,model,cs.CL,1
boundary-aware hard negative mining,method,cs.CV,1
bound-token mechanism,method,eess.AS,1
bootstrapping,method,cs.CL,1
blockage detection,application,cs.LG,1
bibliographic discovery,task,cs.AI,1
block-diffusion language model,model,cs.LG,1
block-based programming,task,cs.AI,1
blind obedience,risk,cs.SE,1
black-box evaluation,method,cs.AI,1
bistability,risk,cs.AI,1
biopsy acquisition,application,cs.CV,1
biological systems,application,cs.AI,1
biodiversity imagery,dataset,cs.CV,1
binomial generalized estimating equation,method,cs.CL,1
binary verdict,task,cs.CL,1
bidirectional causal control,method,cs.AI,1
block-wise,task,cs.LG,1
information set monte carlo search,method,cs.LG,1
information matching,task,cs.LG,1
information governance,theory,cs.CR,1
information gain,metric,cs.AI,1
infinite-width limit,theory,cs.LG,1
inference-time plasticity,method,cs.AI,1
inference procedure,method,cs.CL,1
inference compute,metric,cs.AI,1
inertial navigation system,tool,cs.RO,1
inductive biases,theory,cs.LG,1
electronic-nose signals,metric,cs.CV,1
induction heads,model,cs.LG,1
incomplete ecg records,application,cs.LG,1
inception module,model,cs.LG,1
in-context learning,task,cs.LG,1
importance-weighted novelty,metric,cs.CV,1
importance sampling (is,method,cs.LG,1
importance sampling,method,cs.CL,1
imbalance,risk,cs.LG,1
image-text pairs,dataset,cs.CV,1
image synthesis,application,cs.CV,1
image signal processing,task,cs.AI,1
inductive bias,risk,cs.LG,1
inverse participation ratio,metric,cs.CL,1
invalid inputs,risk,cs.SE,1
intrinsic noise,risk,cs.LG,1
interpretation difficulty,task,cs.CL,1
interpretable ai,application,cs.LG,1
interpretability,application,cs.CL,1
interpersonal stance,metric,cs.CL,1
internal state validation,method,cs.AI,1
internal language modeling,theory,cs.CL,1
intermediate-state informativeness,task,cs.AI,1
intermediate representations,other,cs.CV,1
information-theoretic capacity region,theory,cs.AI,1
interaction inference,task,cs.SE,1
inter-view interaction,task,cs.CV,1
intentrouter,tool,cs.AI,1
intent-driven dataset,dataset,cs.AI,1
instruction-tuned model,model,cs.CL,1
instruction-tuned language models,model,cs.LG,1
instruction-response pairs,task,cs.CL,1
instruction-pose aware router,tool,cs.CV,1
instruction-following failures,risk,cs.CL,1
instance-level data augmentation,method,cs.CV,1
innovative solutions,application,cs.AI,1
interactive dashboard,application,cs.SE,1
hierarchical task taxonomy,theory,cs.CL,1
hierarchical search,task,cs.CL,1
hierarchical question decomposition,method,cs.CV,1
hierarchical parameter separation,method,cs.CL,1
hierarchical multi-scale architecture,model,cs.AI,1
hierarchical modeling,method,cs.CL,1
hidden-anchor audit,method,cs.LG,1
hidden states,model,cs.LG,1
hidden states,model,cs.CV,1
hidden states,model,cs.CL,1
image restoration,task,cs.CV,1
hidden representations,model,cs.CL,1
hidden activations,model,cs.AI,1
heteroscedastic identification,theory,cs.LG,1
heterogeneous relaxation,method,cs.LG,1
heterogeneous graph,model,cs.LG,1
heterogeneity-adaptive diffusion schrodinger bridge,method,cs.CV,1
hermeneutic reasoning,theory,cs.AI,1
hellinger loss,metric,cs.LG,1
heaviside gate,theory,cs.AI,1
headline generation,task,cs.CL,1
heading-anchor,method,cs.AI,1
hidden state,task,cs.LG,1
image classification,task,cs.CV,1
hyperbolic representation,model,cs.CV,1
hybrid reward,metric,cs.CV,1
hybrid retrieval,method,cs.CL,1
hybrid model,model,cs.LG,1
hybrid framework,method,cs.AI,1
human-aware representation,other,cs.RO,1
human-aligned behavior,other,cs.SE,1
human-ai coordination,application,cs.AI,1
human-ai co-creation,method,cs.HC,1
human validation,method,cs.CL,1
hierarchical vocabulary routing,method,cs.CR,1
human interpretation,application,cs.CL,1
human decision-making,task,cs.AI,1
hotel review,dataset,cs.NE,1
homoscedastic uncertainty weighting,theory,cs.CL,1
homology-controlled gene ontology prediction,task,cs.CL,1
hmac-sha256 signature,metric,cs.CR,1
hmac-authenticated qr receipt,metric,cs.CR,1
high-resolution rgb imagery,dataset,cs.CV,1
high-loss completions,dataset,cs.CL,1
high-fidelity,metric,cs.CV,1
hierarchy-relaxed evaluation,method,cs.LG,1
human judgment,metric,cs.SE,1
llama-300m,dataset,cs.DC,1
llama,model,cs.LG,1
literature synthesis,task,cs.AI,1
literature search,tool,cs.AI,1
linguistic measures,metric,cs.AI,1
linguistic diversity,task,cs.AI,1
linearization,method,cs.LG,1
linear probes,method,cs.LG,1
linear decoding,method,cs.CL,1
linear attention,method,cs.LG,1
inverse reconstruction,task,cs.AI,1
lifelong user modeling,task,cs.IR,1
legal professional privilege,risk,cs.CR,1
legal and ethical compliance,risk,cs.AI,1
leave one subject out cross-validation,method,eess.SP,1
learned optimizer,model,cs.LG,1
learnable spectrum,model,cs.LG,1
learnable selection,method,cs.CL,1
layernorm,tool,cs.LG,1
latent-prediction objective,method,cs.LG,1
latent programming horizon,theory,cs.LG,1
latent persona direction,model,cs.CL,1
limited memory language models,model,cs.CL,1
long-context understanding,task,cs.CL,1
logit-based,method,stat.ML,1
logistic regression probe,tool,cs.LG,1
logistic regression,model,cs.LG,1
logical irrelevant factors,theory,cs.CL,1
logical complexity,theory,cs.AI,1
logic-based datasets,dataset,cs.MA,1
visual question-answering,application,cs.CV,1
localization signals,other,cs.CV,1
localization,task,cs.SE,1
local preservation,theory,cs.CL,1
llama-600m,dataset,cs.DC,1
local hierarchical algebraic regions,model,cs.LG,1
local heads,model,cs.LG,1
local context,metric,cs.CL,1
load-aware verification,method,cs.AI,1
llm-based semantic assessment,method,cs.AI,1
llm-assisted code synthesis,method,cs.DB,1
llm-as-a-judge,tool,cs.SE,1
llm-as-a-judge,model,cs.CL,1
llm,model,cs.SE,1
llm,model,cs.CR,1
llm,model,cs.CL,1
local large language model,model,cs.NE,1
knowledge graph,model,cs.LG,1
knowledge distillation,method,cs.RO,1
knowledge distillation,method,cs.LG,1
knowledge distillation,method,cs.CL,1
knowledge base manager,model,cs.AI,1
knowledge base,dataset,cs.CL,1
kl regularization,method,cs.AI,1
kl divergence,metric,cs.CL,1
keyword filter,other,cs.CR,1
keyed pseudo-random permutation,method,cs.CR,1
latent graph encoding,method,cs.LG,1
judgement-of-learning (jol,task,cs.CL,1
joint token commitment,method,cs.CL,1
joint estimation,method,stat.ML,1
joint ar-diffusion objective,metric,cs.CL,1
jensen-shannon divergence,metric,cs.CL,1
jaccard overlap,metric,cs.CL,1
iterative tool optimization,method,cs.AI,1
iterative repair,method,cs.SE,1
iterative refinement,method,cs.AI,1
iou 0.95 positive labeling,method,cs.CL,1
iou,metric,cs.CV,1
kappa statistic,metric,cs.CL,1
latent generation,task,cs.CV,1
latent field,model,cs.CL,1
latent compositional pattern,task,cs.CV,1
large-language-model,model,eess.SP,1
large language models (llms,model,cs.AI,1
large language models (llm,model,cs.CL,1
large language models,model,cs.MA,1
large language models,model,cs.CR,1
large language model (llm,tool,cs.LG,1
large language model (llm,model,cs.CL,1
large language model,model,cs.SE,1
knowledge graph,task,cs.CR,1
language-guided latent decomposition,method,cs.CV,1
language resource,risk,cs.CL,1
language model,model,cs.AI,1
language and dialect consistency,metric,cs.CL,1
lagrangian budget constraint,method,cs.LG,1
label smoothing,method,cs.CL,1
l1-penalized logistic regression,method,cs.CL,1
kolmogorov complexity,theory,cs.CL,1
knowledge-intensive domains,task,cs.MA,1
knowledge-augmented dataset,dataset,cs.LG,1
knowledge retrieval,task,cs.CV,1
large language model,model,cs.CV,1
failure-driven,theory,cs.CL,1
failure pattern mining,method,cs.CL,1
failure modes,task,cs.CV,1
failure mode classification,method,cs.SE,1
failure mode,risk,cs.AI,1
factual reliability,task,cs.CL,1
factual precision,metric,cs.CL,1
factual hallucination,risk,cs.CL,1
factorized draft models,model,cs.LG,1
f1 score,metric,cs.CV,1
hateful event detection,task,cs.CL,1
extraction,task,cs.CR,1
external-memory latency,risk,cs.CL,1
external knowledge,model,cs.CL,1
external corpus,dataset,cs.CL,1
extended conversational context,dataset,cs.CL,1
exponential moving average (ema,method,cs.LG,1
explorer-definer pipeline,method,cs.AI,1
exploratory data analysis,method,cs.CL,1
expert-annotated datasets,dataset,cs.CL,1
expert system,model,cs.LG,1
experimental design,method,stat.ME,1
f1 score,metric,cs.CL,1
fisher-rao distance,metric,cs.LG,1
finite-horizon,task,cs.LG,1
finite automaton,theory,cs.LG,1
fine-tuning,task,cs.PF,1
fine-tuning,method,cs.LG,1
fine-tuning,method,cs.CV,1
fine-grained diagnostic annotations,dataset,cs.CL,1
fine-grained access control,application,cs.CR,1
final action,task,cs.CY,1
filled pause,task,cs.CL,1
field-resolution tradeoff,theory,cs.LG,1
faithfulness,metric,cs.CL,1
few-step distillation,method,cs.CV,1
few-shot learning,other,cs.CV,1
few-shot knowledge distillation,task,cs.CV,1
feeling-of-knowing (fok,task,cs.CL,1
feedback-based refinement,method,cs.AI,1
federated learning,application,cs.CR,1
feddualatt,method,cs.LG,1
fedavg,method,cs.LG,1
feature space,other,cs.AI,1
fast radio burst,task,cs.LG,1
false positive rate,risk,cs.CV,1
fidelity,metric,cs.CL,1
entity familiarity,task,cs.CL,1
entity extraction,method,cs.CV,1
entailment,task,cs.CV,1
energy-based model (ebm,model,cs.LG,1
energy waste,risk,cs.AR,1
endpoint representation,model,cs.SE,1
endogenous loss function,theory,cs.AI,1
end-to-end workflows,application,cs.AI,1
end-to-end training,method,cs.LG,1
encoder-decoder,model,cs.CL,1
expected calibration error (ece,metric,cs.CV,1
empirical risk minimization,method,stat.ML,1
empirical annotator distribution,task,cs.CL,1
emotional naturalness,metric,cs.CL,1
emotion distribution,task,cs.CV,1
emergent misalignment,task,cs.CL,1
embodied experience,application,cs.CY,1
embedding techniques,method,cs.CL,1
embedding models,model,cs.CL,1
embedding model,metric,cs.CY,1
embedding,model,cs.CL,1
elemental and compound phases,task,cs.CL,1
empirically derived cultural taxonomy,theory,cs.CL,1
execution,task,cs.CL,1
executable web application,application,cs.SE,1
executable verification,method,cs.AI,1
executable reasoning-action trajectory,task,cs.CV,1
executable patch validation,task,cs.SE,1
evidence-grounded pipeline,method,cs.CL,1
event-based timestamps,method,cs.SD,1
evaluative pipeline,method,cs.LG,1
evaluation methodologies,other,cs.IR,1
evaluation framework,theory,cs.AI,1
evaluation framework,other,cs.LG,1
entropy pacing,method,cs.LG,1
error-state extended kalman filter,model,cs.RO,1
error rate,metric,cs.CL,1
error detection,task,cs.SE,1
error amplification,metric,cs.LG,1
error accumulation,metric,cs.LG,1
ergodic theory,theory,stat.ML,1
equitable performance,metric,cs.AI,1
epistemic entropy,metric,cs.AI,1
episodic memory,model,cs.HC,1
episode failure,risk,cs.AI,1
epidemic modeling,task,cs.AI,1
evaluation budgets,metric,cs.LG,1
graph-theoretic representation,theory,cs.HC,1
graph theory,theory,cs.LG,1
graph reasoning,other,cs.CL,1
graph property functionals,tool,cs.HC,1
graph propagation module,model,cs.LG,1
graph convolutional attention,method,cs.LG,1
graph attention network (gat,model,cs.CV,1
gradient-boosted tree classifier,tool,cs.CL,1
gradient-based alignment,method,cs.CL,1
gradient warfare,risk,cs.LG,1
fixed-point arithmetic,application,cs.LG,1
gradient projection,method,cs.LG,1
gpu--dram--ssd hierarchy,model,cs.CL,1
gpt-5 series,model,cs.LG,1
global heads,model,cs.LG,1
global dependency modeling,task,cs.LG,1
global convergence,theory,cs.LG,1
ghost errors,risk,cs.SE,1
geometry-inductive mixture-of-experts,model,cs.CV,1
geometry-aware transformation,method,cs.DC,1
geometry-aware spatiotemporal graph,model,cs.CV,1
geometric grounding,task,cs.CV,1
gradient variance,metric,cs.LG,1
hate,risk,cs.CL,1
harness mdp,theory,cs.LG,1
harness maturity score,metric,cs.LG,1
harness architecture,theory,cs.AI,1
hardening strategy generation,task,cs.CR,1
hard-negative sampling,method,cs.CL,1
hand-eye matrix,model,cs.CV,1
hallucination penalties,risk,cs.AI,1
hallucination inference and verification engine (hive,tool,cs.CV,1
hallucination,risk,cs.SE,1
hallucination,risk,cs.CV,1
graphical user interface,tool,cs.CL,1
hallucination,risk,cs.AI,1
hallucinated chain-of-thought,risk,cs.AI,1
grpcompviarep (gcr,theory,cs.LG,1
group theory,theory,stat.ML,1
ground-truth matrices,metric,cs.AI,1
ground truth injection module,tool,cs.AI,1
grokking,theory,cs.LG,1
groking,task,cs.LG,1
gridded observation,dataset,cs.LG,1
grid-based dominance scoring,method,cs.CV,1
grb-sympnet,model,cs.RO,1
hallucination,risk,cs.CL,1
fully homomorphic encryption,theory,cs.LG,1
fully convolutional network,model,cs.LG,1
full-duplex spoken dialogue model,model,cs.CL,1
full-duplex slms,application,cs.CL,1
fuel density prediction,task,cs.LG,1
frozen backbone,model,cs.CL,1
frequency-matching principle,theory,cs.LG,1
frequency-domain mixing,theory,cs.LG,1
framing susceptibility,theory,cs.CL,1
fractal architecture,model,cs.LG,1
geometric deep learning,method,stat.ML,1
fp8,metric,cs.DC,1
fourier transform,tool,cs.AI,1
fourier mechanisms,method,cs.LG,1
forward pass,metric,cs.CL,1
formatting attacks,risk,cs.CR,1
formal verification,theory,cs.CL,1
formal language prover,model,cs.AI,1
forged amplifying rationale memory attack,other,cs.CR,1
forensic reconstruction,task,cs.CL,1
fluency,metric,cs.LG,1
flow sparsity regularization,other,cs.CL,1
fr chet mean,method,cs.CL,1
geometric causal models,model,stat.ML,1
genetic improvement,application,cs.SE,1
genetic and reinforcement-learning evolution,method,cs.LG,1
genetic algorithm,model,cond-mat.mtrl-sci,1
generative pipeline,method,cs.LG,1
generative image model,model,cs.CV,1
generative ai,model,cs.CR,1
generative adversarial network,model,cs.LG,1
generation,task,cs.CL,1
generalized-ridge sympnet,model,cs.RO,1
generalized estimating equations,method,cs.CL,1
function class,task,math.ST,1
gaussian process,model,cs.LG,1
gated mlp,model,cs.CL,1
gated linear rnn,model,cs.LG,1
gated accumulation,method,cs.LG,1
gamma band,metric,eess.SP,1
game-playing agent,application,cs.LG,1
fuzzy cognitive map,task,cs.NE,1
future confidence distillation,method,cs.CL,1
fusion tokens,model,cs.CV,1
functional correctness,metric,cs.SE,1
functional connectivity,task,cs.LG,1
generalization,theory,math.ST,1
