concept_name,concept_type,primary_paradigm,paper_count
state memory capacity,metric,Efficiency/Optimization,1
short image histories,other,Reasoning,1
standard operating procedures (sop,task,Agent/Tool Use,1
stance detection,task,Theory/Methodology,1
stability measures,metric,Alignment/Safety,1
square-free modular multiplication,task,Reasoning,1
spike detection,task,Reasoning,1
speech-to-text alignment,task,Alignment/Safety,1
speech recognition,task,Multimodal,1
speech intelligence,metric,Reasoning,1
speculative decoding,method,Efficiency/Optimization,1
spectral preprocessing,method,Efficiency/Optimization,1
spectral entropy,metric,Reasoning,1
star rating,metric,Theory/Methodology,1
subword vocabulary,task,Theory/Methodology,1
subspace non-identifiability,risk,Efficiency/Optimization,1
sub-instructions,model,Reasoning,1
sub-goal embeddings,model,Reasoning,1
structured token-level communication,method,Reasoning,1
structured safety labels,other,Alignment/Safety,1
structured radio frequency interference,task,Benchmark/Evaluation,1
structured newton layer parallelism,method,Efficiency/Optimization,1
structured iteration workflow,method,Benchmark/Evaluation,1
structured feedback,tool,Reasoning,1
structured canonical lift,method,Reasoning,1
stiefel layer,model,Efficiency/Optimization,1
structural tension,theory,Theory/Methodology,1
structural metrics,metric,Alignment/Safety,1
structural grading,method,Benchmark/Evaluation,1
structural and functional mri,dataset,Multimodal,1
stratified train-validation split,method,Benchmark/Evaluation,1
strategic bargaining,task,Reasoning,1
stop-gradient operator,method,Reasoning,1
stochastic token steering (sts,method,Efficiency/Optimization,1
stochastic model-discovery operator,model,Reasoning,1
stochastic block steering (sbs,method,Efficiency/Optimization,1
stochastic block models,task,Theory/Methodology,1
structure-aware vocabulary,model,Reasoning,1
softmax,tool,Theory/Methodology,1
softmax,other,Efficiency/Optimization,1
soft-label prediction,method,Multimodal,1
soft sensing,application,Reasoning,1
sociolinguistic characteristics,task,Theory/Methodology,1
social norms,theory,Alignment/Safety,1
social media,application,Multimodal,1
snowball citation expansion,method,Agent/Tool Use,1
smooth euler characteristic transform (sect,method,Application,1
smell encoder,model,Multimodal,1
smart home configuration,application,Agent/Tool Use,1
spectral decomposition,method,Reasoning,1
sketching,method,Theory/Methodology,1
singular vectors,method,Reasoning,1
singular value decomposition (svd,method,Efficiency/Optimization,1
single-view,theory,Agent/Tool Use,1
single-rollout sampling,method,Reasoning,1
single-cell perturbation,task,Benchmark/Evaluation,1
signal-processing features,task,Reasoning,1
signal reconstruction,method,Benchmark/Evaluation,1
shot-role prompt tokens,tool,Multimodal,1
shot-local story-global tuning objective,metric,Multimodal,1
shortest generating prompt,method,Theory/Methodology,1
small language model,model,Efficiency/Optimization,1
spectral control,theory,Efficiency/Optimization,1
spectral attention,method,Theory/Methodology,1
specification-derived authority,theory,Theory/Methodology,1
specification grounding,theory,Reasoning,1
speaker-separated dialogue speech,task,Dataset/Benchmark,1
spatiotemporal neural models,model,Reasoning,1
spatiotemporal manifold sampling,method,Reasoning,1
spatiotemporal analysis,task,Agent/Tool Use,1
spatio-temporal encoder,model,Reasoning,1
spatio-temporal embedding,task,Benchmark/Evaluation,1
spatial vision perception,application,Efficiency/Optimization,1
source of authority,theory,Theory/Methodology,1
spatial geometry,other,Reasoning,1
spatial gaussian blending,method,Efficiency/Optimization,1
spatial deictic expressions,task,Multimodal,1
spatial bases,model,Efficiency/Optimization,1
sparse autoencoders (saes,tool,Theory/Methodology,1
sparse autoencoders (saes,model,Efficiency/Optimization,1
sparse addressing,method,Efficiency/Optimization,1
span-level uncertainty estimation,task,Theory/Methodology,1
span-annotated corpus,dataset,Theory/Methodology,1
source-guided candidate-generation,method,Reasoning,1
source trustworthiness,risk,Benchmark/Evaluation,1
spatial understanding,other,Reasoning,1
cross-document claim graph,model,Alignment/Safety,1
cross-depth residual factorization,method,Efficiency/Optimization,1
cross-cultural comparison,other,Theory/Methodology,1
cross-center validation,other,Dataset/Benchmark,1
cross-attention,method,Reasoning,1
creative process,application,Alignment/Safety,1
coverage,metric,Benchmark/Evaluation,1
covariance matrix estimation,method,Theory/Methodology,1
coupling-aware balancing loss,method,Efficiency/Optimization,1
counterfactual supervision,method,Reasoning,1
logic-based datasets,dataset,Agent/Tool Use,1
cosine similarity,metric,Alignment/Safety,1
corpus,dataset,Benchmark/Evaluation,1
coreset selection,method,Efficiency/Optimization,1
cooperative multi-agent reinforcement learning (marl,task,Alignment/Safety,1
convolutional kernels,model,Efficiency/Optimization,1
convnext,model,Application,1
conversational role attribution,task,Theory/Methodology,1
controlled synthetic completions,task,Theory/Methodology,1
controlled dialogue prompts,task,Benchmark/Evaluation,1
control-variate adjustment,method,Theory/Methodology,1
contrastive vision-encoder training,method,Benchmark/Evaluation,1
cost-aware objective,metric,Agent/Tool Use,1
cybersecurity,application,Benchmark/Evaluation,1
cwe attribution,task,Alignment/Safety,1
custom operators,method,Efficiency/Optimization,1
curvature,metric,Theory/Methodology,1
curriculum learning,method,Agent/Tool Use,1
curator review,tool,Benchmark/Evaluation,1
curation,task,Agent/Tool Use,1
curated corpus,dataset,Benchmark/Evaluation,1
cultural variation,risk,Theory/Methodology,1
cultural heritage preservation,theory,Theory/Methodology,1
cross-domain evaluation,other,Multimodal,1
crossmodal retrieval,task,Multimodal,1
cross-validation,method,Benchmark/Evaluation,1
cross-temporal generalization,task,Efficiency/Optimization,1
cross-task transfer,theory,Multimodal,1
cross-source exact-match check,metric,Reasoning,1
cross-scanner validation,other,Dataset/Benchmark,1
cross-page reasoning,method,RAG/Retrieval,1
cross-modal transformer,model,Reasoning,1
cross-frequency coupling,task,Reasoning,1
cross-episode memory,method,Reasoning,1
cross-entropy training,other,Reasoning,1
cultural alignment,theory,Benchmark/Evaluation,1
cone machinery,task,Theory/Methodology,1
conditional total correlation,theory,Reasoning,1
conditional dialect group invariance (cdgi,theory,Alignment/Safety,1
conditional dependencies,theory,Reasoning,1
condition encoding,task,Reasoning,1
conciseness,metric,Benchmark/Evaluation,1
conceptual structure,theory,Theory/Methodology,1
concept representation,task,Theory/Methodology,1
computational sensing,task,Benchmark/Evaluation,1
computational imaging,task,Benchmark/Evaluation,1
contrastive ranking objectives,method,Theory/Methodology,1
compression,task,Theory/Methodology,1
compositional reasoning,task,Reasoning,1
composite quality score (q,metric,Alignment/Safety,1
completion-style datasets,dataset,Theory/Methodology,1
completeness,metric,RAG/Retrieval,1
competitive-ratio,metric,Agent/Tool Use,1
common weakness enumeration (cwe,task,Benchmark/Evaluation,1
common vulnerabilities and exposures (cve,task,Benchmark/Evaluation,1
commercially available starting materials,metric,Benchmark/Evaluation,1
commercial apis,application,Benchmark/Evaluation,1
coherence,metric,Benchmark/Evaluation,1
compression failure,risk,Alignment/Safety,1
continuous-query,method,RAG/Retrieval,1
continuous-integration,tool,Benchmark/Evaluation,1
continued pre-training,method,Reasoning,1
continuation probability,model,Benchmark/Evaluation,1
continual pretraining,method,Alignment/Safety,1
contextual transformation,task,Theory/Methodology,1
contextual expansion,method,Efficiency/Optimization,1
context-rich reviser,method,Agent/Tool Use,1
context-parallel,method,Efficiency/Optimization,1
contamination-awareness,other,Benchmark/Evaluation,1
contact-rich quadruped,application,Reasoning,1
confidence interval,method,Alignment/Safety,1
constraint-aware reinforcement learning,theory,Alignment/Safety,1
constrained exploration,task,Alignment/Safety,1
constrained decoding,task,Efficiency/Optimization,1
constrained decoding,method,Reasoning,1
conspiratorial actors,task,Theory/Methodology,1
consolidation,task,Reasoning,1
consensus-based defense,other,Alignment/Safety,1
confusion matrix,metric,Benchmark/Evaluation,1
conformal prediction,theory,Benchmark/Evaluation,1
confidence-scheduled verification,method,Efficiency/Optimization,1
confidence intervals,metric,Benchmark/Evaluation,1
constraint-guided llm generation,method,Agent/Tool Use,1
downstream evaluation,metric,Efficiency/Optimization,1
doob h-transform,theory,Reasoning,1
domain-specific foundation models,model,Benchmark/Evaluation,1
domain knowledge base,dataset,RAG/Retrieval,1
domain knowledge,risk,Reasoning,1
domain adaptation,task,Alignment/Safety,1
domain adaptation,method,Theory/Methodology,1
domain adaptation,method,Benchmark/Evaluation,1
domain adaptation,method,Alignment/Safety,1
document visual question answering,task,Multimodal,1
damped resonators,model,Efficiency/Optimization,1
diversity and concentration metrics,metric,Theory/Methodology,1
diversity,metric,Theory/Methodology,1
distributional sensitivity,risk,Reasoning,1
distribution shift,risk,Multimodal,1
distributed sparse interventions,method,Efficiency/Optimization,1
distillation,method,Multimodal,1
distillation,method,Efficiency/Optimization,1
dissipative systems,task,Reasoning,1
displacement structure,metric,Theory/Methodology,1
disentangled representation,model,Theory/Methodology,1
discrete token vocabulary,task,Reasoning,1
diversity regularizer,method,Reasoning,1
elastic modulus,metric,Efficiency/Optimization,1
eigenvalue clipping,method,Efficiency/Optimization,1
effort-based decision-making,task,Alignment/Safety,1
efficient inference,method,Efficiency/Optimization,1
effective rank,metric,Theory/Methodology,1
effective dimension,metric,Theory/Methodology,1
eeg,application,Benchmark/Evaluation,1
editing for safety,application,Reasoning,1
edge cases,risk,Reasoning,1
ecg reconstruction,task,Efficiency/Optimization,1
ecg anonymization,application,Application,1
downstream metric,metric,Benchmark/Evaluation,1
dynamic-programming pass,method,Alignment/Safety,1
dynamic voltage frequency scaling,tool,Efficiency/Optimization,1
dynamic tool-orchestration engine,tool,Agent/Tool Use,1
dynamic structural sparsification,method,Efficiency/Optimization,1
dynamic preferences,method,Reasoning,1
dynamic interaction,task,Alignment/Safety,1
dynamic evolution,method,Agent/Tool Use,1
dynamic clipping,method,Alignment/Safety,1
dual-stage guidance mechanism,method,Reasoning,1
dual-llm intersection pipeline,method,Theory/Methodology,1
drift,risk,Reasoning,1
early-exit guided predictive prefetching,method,Efficiency/Optimization,1
depth router,tool,Efficiency/Optimization,1
deployment simulation,method,Benchmark/Evaluation,1
deployment pipeline,method,Multimodal,1
dense process reward,metric,Alignment/Safety,1
denoising,task,Reasoning,1
delta-style networks,model,Efficiency/Optimization,1
delegation,task,Agent/Tool Use,1
defended-claims gate,tool,Alignment/Safety,1
deepfake image detection,task,Benchmark/Evaluation,1
decoupled progressive expert supervision,method,Efficiency/Optimization,1
discrete motion latent codes,model,Reasoning,1
de novo structure elucidation,method,Theory/Methodology,1
dataset type,task,Benchmark/Evaluation,1
dataset,dataset,Dataset/Benchmark,1
datamanager,tool,RAG/Retrieval,1
database storage decoding,task,Efficiency/Optimization,1
data storage and processing,task,Alignment/Safety,1
data reuse,method,Efficiency/Optimization,1
data lock-in,risk,Efficiency/Optimization,1
data extraction,task,Theory/Methodology,1
data curation,task,Agent/Tool Use,1
dann,method,Alignment/Safety,1
decision protocols,method,Agent/Tool Use,1
discrete autoregressive generation,theory,Benchmark/Evaluation,1
direct preference optimization (dpo,method,Reasoning,1
direct on-policy distillation,method,Reasoning,1
dimensional metric grouping,method,Benchmark/Evaluation,1
digital twin,application,Reasoning,1
digital humanities,application,Alignment/Safety,1
digital cardiac assessment,application,Efficiency/Optimization,1
diffusion samplers,model,Reasoning,1
diffusion model,model,Reasoning,1
diffusion model,model,Multimodal,1
differentiable graph reasoning,other,Reasoning,1
depth-free,theory,Agent/Tool Use,1
difference-in-differences,method,Alignment/Safety,1
dialectal robustness,metric,Alignment/Safety,1
dialect bias,risk,Alignment/Safety,1
diagnostic evaluation,method,Benchmark/Evaluation,1
devsecops,application,Benchmark/Evaluation,1
deviation,metric,Alignment/Safety,1
detr-style span decoder,model,Theory/Methodology,1
deterministic mate transformations,method,Reasoning,1
detection robustness,metric,Reasoning,1
detection power,metric,Theory/Methodology,1
design structure matrices (dsms,task,Alignment/Safety,1
differentiable asr model,model,Alignment/Safety,1
attention mechanisms,model,Theory/Methodology,1
attention,theory,Benchmark/Evaluation,1
attack path identification,task,Agent/Tool Use,1
atomic actions,task,Agent/Tool Use,1
atmospheric scattering model,model,Reasoning,1
asynchronous reinforcement learning,method,Reasoning,1
ast-based code mutation,method,Multimodal,1
association metric,metric,Benchmark/Evaluation,1
asr robustness,metric,Benchmark/Evaluation,1
aspect-based sentiment analysis,task,Dataset/Benchmark,1
cognitive states,task,Theory/Methodology,1
area under the receiver operating characteristic curve (auc,metric,Reasoning,1
architectural inductive biases,theory,Efficiency/Optimization,1
approval-framed delegation,other,Alignment/Safety,1
apache arrow buffers,metric,Efficiency/Optimization,1
antisemitic events,task,Benchmark/Evaluation,1
anti-pattern detection,tool,Benchmark/Evaluation,1
answer-driven reasoning,risk,Reasoning,1
answer generation,task,Agent/Tool Use,1
anov,method,Reasoning,1
annotation guidelines,theory,Theory/Methodology,1
anhedonia,risk,Alignment/Safety,1
argument-level policy,theory,Alignment/Safety,1
b-rep geometric evidence,method,Reasoning,1
axiomatic assembly specification,theory,Reasoning,1
awareness functionals,tool,Theory/Methodology,1
autoregressive decoding,task,Reasoning,1
autoregressive decoding,method,Alignment/Safety,1
autonomy framework,theory,Agent/Tool Use,1
autonomous exploration,method,Agent/Tool Use,1
autonomous coding agent,tool,Agent/Tool Use,1
automatic speech recognition (asr,tool,Reasoning,1
automatic speech recognition,task,Benchmark/Evaluation,1
attention-based detectors,tool,Multimodal,1
autoformalization,task,Benchmark/Evaluation,1
auto-fix,method,Agent/Tool Use,1
authorization gateway,tool,Alignment/Safety,1
auditable engineering cascade,application,Benchmark/Evaluation,1
auditability,risk,Theory/Methodology,1
audio-text llm,model,Multimodal,1
audio understanding,metric,Multimodal,1
auc,metric,Application,1
attribution scores,metric,Reasoning,1
attention-output probes,metric,Efficiency/Optimization,1
attention-limited measurement process,theory,Alignment/Safety,1
automated evaluation,tool,Reasoning,1
wavelet scattering transform,method,Reasoning,1
watermarking,method,Alignment/Safety,1
watermarking,application,Theory/Methodology,1
wasserstein distance,metric,Theory/Methodology,1
vulnerability detection,task,Alignment/Safety,1
activation,tool,Theory/Methodology,1
voxcpm2,other,Application,1
visual-token representations,model,Reasoning,1
visual-question-answering,task,Benchmark/Evaluation,1
visual-action alignment reward,other,Alignment/Safety,1
anatomical validation,other,Dataset/Benchmark,1
visual reasoning,task,Reasoning,1
visual reasoning,method,Reasoning,1
acceptance rate,metric,Reasoning,1
ablated models,model,Alignment/Safety,1
1d u-net,model,Application,1
1-regularization,method,Theory/Methodology,1
zero-shot vision-language models (llms,model,Benchmark/Evaluation,1
adolescent substance use discourse,task,Benchmark/Evaluation,1
visual question-answering,application,Multimodal,1
voxel features,model,Reasoning,1
alignment,method,Alignment/Safety,1
visual token pruning,task,Efficiency/Optimization,1
analytical workflow,application,Agent/Tool Use,1
analytical jacobian,method,Theory/Methodology,1
alignment criterion,metric,Alignment/Safety,1
alignment amplification,theory,Alignment/Safety,1
alignment,theory,RAG/Retrieval,1
accuracy,metric,Benchmark/Evaluation,1
zero-shot nli,method,Benchmark/Evaluation,1
zero-shot learning,method,Theory/Methodology,1
zero-shot evaluation,other,Multimodal,1
zero-shot attack,other,Reasoning,1
zero-shot,theory,Benchmark/Evaluation,1
weak models,model,Benchmark/Evaluation,1
yolov5,model,Application,1
xor synergy control,tool,Benchmark/Evaluation,1
worst-case protection,risk,Agent/Tool Use,1
working memory,model,Theory/Methodology,1
word-level control,task,Benchmark/Evaluation,1
word error rate,metric,Benchmark/Evaluation,1
white-box attack,method,Reasoning,1
whisper,model,Reasoning,1
wer,metric,Application,1
weight decay,method,Theory/Methodology,1
weak-to-strong generalization,task,Reasoning,1
zero-day detection,task,Benchmark/Evaluation,1
classification,task,Dataset/Benchmark,1
classical morphology,theory,Theory/Methodology,1
clarity,metric,RAG/Retrieval,1
cider 0.5iou,metric,Reasoning,1
ci/cd workflow,task,Benchmark/Evaluation,1
chi-square law,theory,Theory/Methodology,1
chemical plausibility,metric,Benchmark/Evaluation,1
character-level language modeling,application,Efficiency/Optimization,1
channel adaptation,method,Efficiency/Optimization,1
change detection,task,Reasoning,1
backend-specific energy attribution,metric,Efficiency/Optimization,1
chain-of-thought,task,Reasoning,1
chain-of-thought,other,Alignment/Safety,1
cer,metric,Application,1
centroid,model,Efficiency/Optimization,1
cell-wise,task,Efficiency/Optimization,1
causal mechanism,theory,Alignment/Safety,1
causal localization,method,Agent/Tool Use,1
causal functions,model,Efficiency/Optimization,1
capacity allocation,method,Agent/Tool Use,1
candidate diversity mechanism,theory,Theory/Methodology,1
camera-centric action,task,Agent/Tool Use,1
chamfer distance,metric,Reasoning,1
cognitive bias,risk,Reasoning,1
coding agents,other,Reasoning,1
code parsing,metric,Reasoning,1
code generation,task,Reasoning,1
code generation,task,Multimodal,1
coarse-to-fine retrieval,method,Reasoning,1
coalition value,metric,Benchmark/Evaluation,1
clustered standard errors,metric,Benchmark/Evaluation,1
cloze-style masked language modeling,method,Theory/Methodology,1
closed-loop simulator,tool,Dataset/Benchmark,1
closed-loop program synthesis,method,Reasoning,1
classification metrics,metric,Alignment/Safety,1
clip,method,Reasoning,1
clinicalragengine,tool,RAG/Retrieval,1
clinicalorchestrator,tool,RAG/Retrieval,1
clinical validation,application,Multimodal,1
clinical research,application,Theory/Methodology,1
clinical consultations,dataset,Theory/Methodology,1
clinical alignment metric,metric,Theory/Methodology,1
click-centric refinement,method,Reasoning,1
clean tool-use rate,metric,Benchmark/Evaluation,1
classifier-free guidance (cfg,task,Reasoning,1
classifier discrimination score (cds,metric,Benchmark/Evaluation,1
closed-loop feedback,method,Agent/Tool Use,1
bibliographic discovery,task,Alignment/Safety,1
bias correction,task,Efficiency/Optimization,1
bias,risk,Benchmark/Evaluation,1
beta nll regression,method,Theory/Methodology,1
best-arm identification,task,Theory/Methodology,1
benchmark,theory,Benchmark/Evaluation,1
benchmark,other,Reasoning,1
benchmark,other,Multimodal,1
benchmark,other,Benchmark/Evaluation,1
benchmark,metric,Multimodal,1
calibration-free online error tracking,method,Efficiency/Optimization,1
belief updating,theory,Theory/Methodology,1
behavioral profile,task,Reasoning,1
behavioral control,task,Efficiency/Optimization,1
behavior leverage imbalance,theory,Agent/Tool Use,1
bccd dataset,dataset,Application,1
bayesian optimization,method,Efficiency/Optimization,1
bayesian ceiling,metric,Reasoning,1
barrier-conditioning,method,Reasoning,1
barbet,other,Application,1
band-gap regimes,task,Reasoning,1
balanced accuracy,metric,Reasoning,1
benchmark,metric,Alignment/Safety,1
calibration-free,theory,Agent/Tool Use,1
calibration,task,Benchmark/Evaluation,1
calibrated gate,tool,Alignment/Safety,1
cad generation,application,Reasoning,1
byte-pair encoding (bpe,method,Theory/Methodology,1
brain age,metric,Benchmark/Evaluation,1
bradley--terry log-odds,model,Alignment/Safety,1
boundary-aware span representations,model,Benchmark/Evaluation,1
boundary-aware hard negative mining,method,Reasoning,1
bound-token mechanism,method,Benchmark/Evaluation,1
bootstrapping,method,Benchmark/Evaluation,1
bidirectional causal control,method,Alignment/Safety,1
block-wise,task,Efficiency/Optimization,1
block-diffusion language model,model,Theory/Methodology,1
block-based programming,task,Benchmark/Evaluation,1
blind obedience,risk,Alignment/Safety,1
black-box evaluation,method,Alignment/Safety,1
bistability,risk,Benchmark/Evaluation,1
biopsy acquisition,application,Reasoning,1
biological systems,application,Reasoning,1
biodiversity imagery,dataset,Application,1
binomial generalized estimating equation,method,Benchmark/Evaluation,1
binary verdict,task,Reasoning,1
blockage detection,application,Reasoning,1
infinite-width limit,theory,Theory/Methodology,1
inference-time plasticity,method,Theory/Methodology,1
inference procedure,method,Reasoning,1
inference compute,metric,Alignment/Safety,1
inertial navigation system,tool,Reasoning,1
inductive biases,theory,Efficiency/Optimization,1
inductive bias,risk,Reasoning,1
induction heads,model,Theory/Methodology,1
incomplete ecg records,application,Efficiency/Optimization,1
inception module,model,Efficiency/Optimization,1
electroacoustic quantitative measurement,method,Theory/Methodology,1
importance-weighted novelty,metric,Efficiency/Optimization,1
importance sampling (is,method,Reasoning,1
importance sampling,method,Alignment/Safety,1
imbalance,risk,Benchmark/Evaluation,1
image-text pairs,dataset,Multimodal,1
image synthesis,application,Reasoning,1
image signal processing,task,Benchmark/Evaluation,1
image restoration,task,Reasoning,1
image classification,task,Efficiency/Optimization,1
hyperbolic representation,model,Theory/Methodology,1
hybrid reward,metric,Agent/Tool Use,1
in-context learning,task,Theory/Methodology,1
interpretability,application,Reasoning,1
interpersonal stance,metric,Benchmark/Evaluation,1
internal state validation,method,Agent/Tool Use,1
internal language modeling,theory,Benchmark/Evaluation,1
intermediate-state informativeness,task,Reasoning,1
intermediate representations,other,Reasoning,1
interactive dashboard,application,Multimodal,1
interaction inference,task,Benchmark/Evaluation,1
inter-view interaction,task,Reasoning,1
intentrouter,tool,RAG/Retrieval,1
information gain,metric,Reasoning,1
instruction-tuned model,model,Benchmark/Evaluation,1
instruction-tuned language models,model,Efficiency/Optimization,1
instruction-response pairs,task,Benchmark/Evaluation,1
instruction-pose aware router,tool,Reasoning,1
instruction-following failures,risk,Theory/Methodology,1
instance-level data augmentation,method,Reasoning,1
innovative solutions,application,Reasoning,1
information-theoretic capacity region,theory,Benchmark/Evaluation,1
information set monte carlo search,method,Agent/Tool Use,1
information matching,task,Reasoning,1
information governance,theory,Alignment/Safety,1
intent-driven dataset,dataset,Alignment/Safety,1
hierarchical multi-scale architecture,model,Reasoning,1
hierarchical modeling,method,Multimodal,1
hidden-anchor audit,method,Reasoning,1
hidden states,model,Theory/Methodology,1
hidden state,task,Efficiency/Optimization,1
hidden representations,model,Reasoning,1
hidden activations,model,Alignment/Safety,1
heteroscedastic identification,theory,Theory/Methodology,1
heterogeneous relaxation,method,Efficiency/Optimization,1
heterogeneous graph,model,Benchmark/Evaluation,1
hybrid retrieval,method,RAG/Retrieval,1
hermeneutic reasoning,theory,Theory/Methodology,1
hellinger loss,metric,Reasoning,1
heaviside gate,theory,Alignment/Safety,1
headline generation,task,Reasoning,1
heading-anchor,method,Alignment/Safety,1
hateful event detection,task,Benchmark/Evaluation,1
hate,risk,Reasoning,1
harness mdp,theory,Agent/Tool Use,1
harness maturity score,metric,Agent/Tool Use,1
harness architecture,theory,Agent/Tool Use,1
hardening strategy generation,task,Agent/Tool Use,1
heterogeneity-adaptive diffusion schrodinger bridge,method,Reasoning,1
hybrid model,model,Application,1
hybrid framework,method,Benchmark/Evaluation,1
human-aware representation,other,Reasoning,1
human-aligned behavior,other,Benchmark/Evaluation,1
human-ai coordination,application,Alignment/Safety,1
human-ai co-creation,method,Alignment/Safety,1
human validation,method,Benchmark/Evaluation,1
human judgment,metric,Multimodal,1
human interpretation,application,Reasoning,1
human decision-making,task,Agent/Tool Use,1
hotel review,dataset,Theory/Methodology,1
hierarchical parameter separation,method,Reasoning,1
homology-controlled gene ontology prediction,task,Reasoning,1
hmac-sha256 signature,metric,Alignment/Safety,1
hmac-authenticated qr receipt,metric,Alignment/Safety,1
high-resolution rgb imagery,dataset,Application,1
high-loss completions,dataset,Theory/Methodology,1
high-fidelity,metric,Multimodal,1
hierarchy-relaxed evaluation,method,Benchmark/Evaluation,1
hierarchical vocabulary routing,method,Alignment/Safety,1
hierarchical task taxonomy,theory,Benchmark/Evaluation,1
hierarchical search,task,Agent/Tool Use,1
hierarchical question decomposition,method,RAG/Retrieval,1
homoscedastic uncertainty weighting,theory,Multimodal,1
literature synthesis,task,Alignment/Safety,1
literature search,tool,Theory/Methodology,1
linguistic measures,metric,Theory/Methodology,1
linguistic diversity,task,Theory/Methodology,1
linearization,method,Efficiency/Optimization,1
linear probes,method,Alignment/Safety,1
linear decoding,method,Theory/Methodology,1
linear attention,method,Theory/Methodology,1
limited memory language models,model,RAG/Retrieval,1
lifelong user modeling,task,Agent/Tool Use,1
interpretable ai,application,Theory/Methodology,1
legal and ethical compliance,risk,Alignment/Safety,1
leave one subject out cross-validation,method,Reasoning,1
learned optimizer,model,Efficiency/Optimization,1
learnable spectrum,model,Efficiency/Optimization,1
learnable selection,method,Reasoning,1
layernorm,tool,Theory/Methodology,1
latent-prediction objective,method,Benchmark/Evaluation,1
latent programming horizon,theory,Reasoning,1
latent persona direction,model,Alignment/Safety,1
latent graph encoding,method,Multimodal,1
latent generation,task,Efficiency/Optimization,1
legal professional privilege,risk,Alignment/Safety,1
long-context understanding,task,Benchmark/Evaluation,1
logit-based,method,Theory/Methodology,1
logistic regression probe,tool,Reasoning,1
logistic regression,model,Application,1
logical irrelevant factors,theory,Reasoning,1
logical complexity,theory,Reasoning,1
variable semantics,theory,Reasoning,1
log-ratio,metric,Reasoning,1
localization signals,other,Reasoning,1
localization,task,Alignment/Safety,1
local preservation,theory,Theory/Methodology,1
llama,model,Efficiency/Optimization,1
local hierarchical algebraic regions,model,Reasoning,1
local heads,model,Alignment/Safety,1
local context,metric,Reasoning,1
load-aware verification,method,Efficiency/Optimization,1
llm-based semantic assessment,method,Benchmark/Evaluation,1
llm-assisted code synthesis,method,Efficiency/Optimization,1
llm-as-a-judge,tool,Theory/Methodology,1
llm-as-a-judge,model,Benchmark/Evaluation,1
llm,model,Benchmark/Evaluation,1
llama-600m,dataset,Efficiency/Optimization,1
llama-300m,dataset,Efficiency/Optimization,1
local large language model,model,Theory/Methodology,1
knowledge base,dataset,RAG/Retrieval,1
kl regularization,method,Reasoning,1
kl divergence,metric,Multimodal,1
keyword filter,other,Alignment/Safety,1
keyed pseudo-random permutation,method,Theory/Methodology,1
kappa statistic,metric,Reasoning,1
judgement-of-learning (jol,task,Reasoning,1
joint token commitment,method,Reasoning,1
joint estimation,method,Theory/Methodology,1
joint ar-diffusion objective,metric,Reasoning,1
latent field,model,Efficiency/Optimization,1
jaccard overlap,metric,Theory/Methodology,1
iterative tool optimization,method,Agent/Tool Use,1
iterative repair,method,Alignment/Safety,1
iterative refinement,method,Reasoning,1
iou 0.95 positive labeling,method,Benchmark/Evaluation,1
iou,metric,Application,1
inverse reconstruction,task,Benchmark/Evaluation,1
inverse participation ratio,metric,Reasoning,1
invalid inputs,risk,Reasoning,1
intrinsic noise,risk,Reasoning,1
interpretation difficulty,task,Reasoning,1
jensen-shannon divergence,metric,Agent/Tool Use,1
latent compositional pattern,task,Reasoning,1
large-language-model,model,Benchmark/Evaluation,1
large language models (llms,model,Alignment/Safety,1
large language models (llm,model,Reasoning,1
large language models,model,Agent/Tool Use,1
large language model (llm,tool,Multimodal,1
large language model (llm,model,Reasoning,1
large language model,model,Dataset/Benchmark,1
language-guided latent decomposition,method,Multimodal,1
language resource,risk,Benchmark/Evaluation,1
language models,model,Theory/Methodology,1
knowledge base manager,model,Agent/Tool Use,1
language and dialect consistency,metric,Benchmark/Evaluation,1
lagrangian budget constraint,method,Efficiency/Optimization,1
label smoothing,method,Benchmark/Evaluation,1
l1-penalized logistic regression,method,Benchmark/Evaluation,1
kolmogorov complexity,theory,Theory/Methodology,1
knowledge-intensive domains,task,Agent/Tool Use,1
knowledge-augmented dataset,dataset,Dataset/Benchmark,1
knowledge retrieval,task,Reasoning,1
knowledge graph,task,Agent/Tool Use,1
knowledge graph,model,Benchmark/Evaluation,1
knowledge distillation,method,Efficiency/Optimization,1
language models,model,Reasoning,1
factual reliability,task,Reasoning,1
factual precision,metric,RAG/Retrieval,1
factual hallucination,risk,Alignment/Safety,1
factual consistency,metric,RAG/Retrieval,1
factual consistency,metric,Benchmark/Evaluation,1
factorized draft models,model,Reasoning,1
f1 score,metric,Reasoning,1
f1 score,metric,Application,1
extraction,task,Agent/Tool Use,1
external-memory latency,risk,Efficiency/Optimization,1
hard-negative sampling,method,Benchmark/Evaluation,1
external corpus,dataset,Efficiency/Optimization,1
extended conversational context,dataset,Reasoning,1
exponential moving average (ema,method,Alignment/Safety,1
explorer-definer pipeline,method,Agent/Tool Use,1
exploratory data analysis,method,Benchmark/Evaluation,1
expert-annotated datasets,dataset,Benchmark/Evaluation,1
expert system,model,Agent/Tool Use,1
experimental design,method,Reasoning,1
expected calibration error (ece,metric,Reasoning,1
execution,task,Agent/Tool Use,1
executable web application,application,Benchmark/Evaluation,1
external knowledge,model,Reasoning,1
fine-tuning,method,Alignment/Safety,1
