source,target,edge_weight,first_month,latest_month
global heads,local heads,1,2026-07,2026-07
global heads,transformer attention heads,1,2026-07,2026-07
gpt-5 series,misalignment,1,2026-07,2026-07
gpt-5 series,production traffic,1,2026-07,2026-07
gpt-5 series,tool resampling,1,2026-07,2026-07
gpu--dram--ssd hierarchy,offline construction,1,2026-07,2026-07
gradient projection,optimizer state,1,2026-07,2026-07
ghost errors,semantic corruption,1,2026-07,2026-07
prompt construction,tree-of-thoughts (tot,1,2026-07,2026-07
prompt engineering,vex vr,1,2026-07,2026-07
prompt optimization,shortest generating prompt,1,2026-07,2026-07
proof-mechanism,template accuracy,1,2026-07,2026-07
proposal trees,top-k marginals,1,2026-07,2026-07
proposal trees,tree-verification,1,2026-07,2026-07
prosodic segmentation,whisper,1,2026-07,2026-07
protocolmanager,safetyverifier,1,2026-07,2026-07
prototypical contrastive learning,stance detection,1,2026-07,2026-07
prototypical contrastive learning,topic-conditional layer normalization,1,2026-07,2026-07
proxy score,residual variance,1,2026-07,2026-07
pruning,refusal,1,2026-07,2026-07
pruning,transformer,1,2026-07,2026-07
llama,mmlu,1,2026-07,2026-07
pseudo frames,voxel features,1,2026-07,2026-07
pubhealthbench,retrieval-augmented generation,1,2026-07,2026-07
public announcement,repeated games,1,2026-07,2026-07
pullback metrics,riemannian mean pooling,1,2026-07,2026-07
pullback metrics,symmetric positive definite (spd) manifold,1,2026-07,2026-07
quadrotor,structured canonical lift,1,2026-07,2026-07
quadrotor,symplectic learning,1,2026-07,2026-07
quality rubric,retrieval,1,2026-07,2026-07
quality rubric,source trustworthiness,1,2026-07,2026-07
quality scorer,retrieval-augmented generation,1,2026-07,2026-07
quality scorer,section-aware relevance scoring,1,2026-07,2026-07
quality scorer,snowball citation expansion,1,2026-07,2026-07
quality-filtered trajectory distillation,role factorization,1,2026-07,2026-07
quantitative data extraction,star rating,1,2026-07,2026-07
pseudo frames,teacher-student framework,1,2026-07,2026-07
privacy,zero-day detection,1,2026-07,2026-07
privacy classifier,privacy-utility orthogonality,1,2026-07,2026-07
privacy classifier,reconstruction-aware,1,2026-07,2026-07
privacy classifier,utility classifier,1,2026-07,2026-07
privacy-utility orthogonality,reconstruction-aware,1,2026-07,2026-07
privacy-utility orthogonality,utility classifier,1,2026-07,2026-07
private intent,public announcement,1,2026-07,2026-07
private intent,repeated games,1,2026-07,2026-07
privileged context,reasoning traces,1,2026-07,2026-07
privileged context,self-distillation,1,2026-07,2026-07
privileged context,thinking models,1,2026-07,2026-07
privileged information,self-distillation,1,2026-07,2026-07
probability capacity (cap,stop-gradient operator,1,2026-07,2026-07
prompt complexity,shortest generating prompt,1,2026-07,2026-07
process model generation,reinforcement learning,1,2026-07,2026-07
process model generation,reward function design,1,2026-07,2026-07
process model generation,semantic quality,1,2026-07,2026-07
process model generation,syntactic quality,1,2026-07,2026-07
production traffic,tool resampling,1,2026-07,2026-07
program analysis,smart home configuration,1,2026-07,2026-07
program evolution,residual streams,1,2026-07,2026-07
program evolution,test suite,1,2026-07,2026-07
program synthesis,reflective orchestrator,1,2026-07,2026-07
projective techniques,synthetic consumer data,1,2026-07,2026-07
projective techniques,top-term analyses,1,2026-07,2026-07
projective techniques,topic models,1,2026-07,2026-07
prompt category,prompt robustness,1,2026-07,2026-07
prompt complexity,prompt optimization,1,2026-07,2026-07
probability capacity (cap,unbounded positive asymmetric optimization (up,1,2026-07,2026-07
recurring workflows,standard operating procedures (sop,1,2026-07,2026-07
recurring workflows,toolset,1,2026-07,2026-07
recursive prompt bank,shot-local story-global tuning objective,1,2026-07,2026-07
recursive prompt bank,shot-role prompt tokens,1,2026-07,2026-07
recursive prompt bank,text-to-video diffusion transformer,1,2026-07,2026-07
redsm5,self-reported diagnosis,1,2026-07,2026-07
redsm5,zero-shot nli,1,2026-07,2026-07
reed-solomon code,semantically equivalent code patterns,1,2026-07,2026-07
reed-solomon code,syntactic attacks,1,2026-07,2026-07
reed-solomon code,variable naming conventions,1,2026-07,2026-07
reference-free,reward hacking,1,2026-07,2026-07
reference-free,self-play,1,2026-07,2026-07
refusal behavior,vulnerability detection,1,2026-07,2026-07
query-key projections,spectral preprocessing,1,2026-07,2026-07
regime-dependent failure,reward signal stationarity,1,2026-07,2026-07
region context embeddings,vision-language model,1,2026-07,2026-07
region of interest,visual reasoning,1,2026-07,2026-07
regression model,stochastic model-discovery operator,1,2026-07,2026-07
regression model,utility-aligned canonical decomposition,1,2026-07,2026-07
reinforcement fine-tuning,task constraints,1,2026-07,2026-07
reinforcement learning,rejection fine-tuning,1,2026-07,2026-07
reinforcement learning,retrieval-augmented generation,1,2026-07,2026-07
reinforcement learning,reward function design,1,2026-07,2026-07
reinforcement learning,reward shaping,1,2026-07,2026-07
reinforcement learning,self-play,1,2026-07,2026-07
reinforcement learning,semantic quality,1,2026-07,2026-07
reinforcement learning,supervised fine-tuning,1,2026-07,2026-07
reinforcement learning,syntactic quality,1,2026-07,2026-07
regex-based constraint,retrieval-augmented generation,1,2026-07,2026-07
query-key projections,transformer attention,1,2026-07,2026-07
qwen,rank-1 orthogonal projections,1,2026-07,2026-07
qwen,softmax,1,2026-07,2026-07
random forest,shap explainability,1,2026-07,2026-07
random forest,svm classifier,1,2026-07,2026-07
random forest,wavelet scattering transform,1,2026-07,2026-07
random neural network,tensor program,1,2026-07,2026-07
random neural network,wasserstein distance,1,2026-07,2026-07
random sampling map,sampling,1,2026-07,2026-07
random sampling map,sketching,1,2026-07,2026-07
rank-1 orthogonal projections,softmax,1,2026-07,2026-07
rank-r subspace,reproducibility,1,2026-07,2026-07
rank-r subspace,subspace non-identifiability,1,2026-07,2026-07
reconstruction-aware,utility classifier,1,2026-07,2026-07
ray and wave optics,vision-language models,1,2026-07,2026-07
real-world end-to-end working demands,robustness,1,2026-07,2026-07
real-world end-to-end working demands,tool composition,1,2026-07,2026-07
real-world end-to-end working demands,tool discovery,1,2026-07,2026-07
realistic coding contexts,trajectory-aware benchmarks,1,2026-07,2026-07
reasoning dynamics,semantic coverage,1,2026-07,2026-07
reasoning traces,self-distillation,1,2026-07,2026-07
reasoning traces,thinking models,1,2026-07,2026-07
reasoning-active training,reasoning-free inference,1,2026-07,2026-07
reasoning-active training,rollout-guided progressive hard-case optimization,1,2026-07,2026-07
reasoning-active training,structured safety labels,1,2026-07,2026-07
reasoning-free inference,rollout-guided progressive hard-case optimization,1,2026-07,2026-07
reasoning-free inference,structured safety labels,1,2026-07,2026-07
recommendation generation,repository enrichment,1,2026-07,2026-07
rate-of-spread estimation,spatiotemporal neural models,1,2026-07,2026-07
physics-audited agentic sciml,verification-first workflow,1,2026-07,2026-07
physics-guided machine learning,rate-of-spread estimation,1,2026-07,2026-07
physics-guided machine learning,spatiotemporal neural models,1,2026-07,2026-07
pixel-level segmentation mask,position embedding,1,2026-07,2026-07
pixel-level segmentation mask,region of interest,1,2026-07,2026-07
pixel-level segmentation mask,visual reasoning,1,2026-07,2026-07
plan-like internal representation,position estimation,1,2026-07,2026-07
planning,safety,1,2026-07,2026-07
planning,tool use,1,2026-07,2026-07
planning compilation,security metrics evaluation,1,2026-07,2026-07
podcast feed,speaker-separated dialogue speech,1,2026-07,2026-07
point cloud evolution,spatial geometry,1,2026-07,2026-07
point-cloud manifold,vector field,1,2026-07,2026-07
privacy,synthetic content analysis,1,2026-07,2026-07
poisson arrival process,worst-case protection,1,2026-07,2026-07
polarity-contradiction detection,visual-question-answering,1,2026-07,2026-07
policy distillation,policy gradients,1,2026-07,2026-07
policy distillation,self-review,1,2026-07,2026-07
policy gradient,reinforcement learning,1,2026-07,2026-07
policy gradient,step-level reward,1,2026-07,2026-07
policy gradient,structured feedback,1,2026-07,2026-07
policy gradient,transformer,1,2026-07,2026-07
policy gradients,self-review,1,2026-07,2026-07
policy loss,rejection sampling,1,2026-07,2026-07
policy optimization,reward-swap,1,2026-07,2026-07
policy optimization target,rollout policy optimization,1,2026-07,2026-07
policy optimization target,tree-structured rollout,1,2026-07,2026-07
political orientation,power status,1,2026-07,2026-07
poisson arrival process,posterior belief,1,2026-07,2026-07
percentile-aware layerwise sparsity,perplexity,1,2026-07,2026-07
percentile-aware layerwise sparsity,pruning,1,2026-07,2026-07
percentile-aware layerwise sparsity,transformer,1,2026-07,2026-07
perceptual stages,pretrained audio teacher,1,2026-07,2026-07
perceptual stages,semantic stages,1,2026-07,2026-07
perplexity,pruning,1,2026-07,2026-07
perplexity,transformer,1,2026-07,2026-07
perplexity,word error rate,1,2026-07,2026-07
perplexity degradation,polynomial approximations,1,2026-07,2026-07
perplexity degradation,structured newton layer parallelism,1,2026-07,2026-07
perplexity degradation,symbolic bootstraps,1,2026-07,2026-07
persistent homology,smooth euler characteristic transform (sect,1,2026-07,2026-07
personal ai agents,security governance,1,2026-07,2026-07
physics-audited agentic sciml,surrogate models,1,2026-07,2026-07
perturbation discrimination score (pds,single-cell perturbation,1,2026-07,2026-07
perturbation discrimination score (pds,weak models,1,2026-07,2026-07
pet-guided noise modulation module,region context embeddings,1,2026-07,2026-07
pet-guided noise modulation module,vision-language model,1,2026-07,2026-07
phase-based freeze schedule,potential-based reward shaping (pbrs,1,2026-07,2026-07
phase-based freeze schedule,regime-dependent failure,1,2026-07,2026-07
phase-based freeze schedule,reward signal stationarity,1,2026-07,2026-07
physical laws,pure reasoning,1,2026-07,2026-07
physical plausibility,scene classification,1,2026-07,2026-07
physical plausibility,thermal-airflow perturbation,1,2026-07,2026-07
physical plausibility,zero-shot attack,1,2026-07,2026-07
physics requirements,physics-audited agentic sciml,1,2026-07,2026-07
physics requirements,surrogate models,1,2026-07,2026-07
physics requirements,verification-first workflow,1,2026-07,2026-07
perturbation discrimination score (pds,population profile,1,2026-07,2026-07
power-calibrated,semantic distortion,1,2026-07,2026-07
power-calibrated,watermarking,1,2026-07,2026-07
pragmatic ambiguity,requirement disambiguation,1,2026-07,2026-07
pragmatic ambiguity,retrieval-augmented generation,1,2026-07,2026-07
pragmatic quality,process model generation,1,2026-07,2026-07
pragmatic quality,reinforcement learning,1,2026-07,2026-07
pragmatic quality,reward function design,1,2026-07,2026-07
pragmatic quality,semantic quality,1,2026-07,2026-07
pragmatic quality,syntactic quality,1,2026-07,2026-07
pre-generation signals,uncertainty quantification,1,2026-07,2026-07
pre-generation signals,visual question answering,1,2026-07,2026-07
pre-generation signals,visual-token representations,1,2026-07,2026-07
predicate-gated state transitions,verification-first execution framework,1,2026-07,2026-07
political orientation,sentiment analysis,1,2026-07,2026-07
predictability,value alignment,1,2026-07,2026-07
preference optimization,search-routing,1,2026-07,2026-07
preference optimization,supervised fine-tuning,1,2026-07,2026-07
pretrained audio teacher,semantic stages,1,2026-07,2026-07
pretrained score network,timestep schedules,1,2026-07,2026-07
pretraining curriculum,rule-following behavior,1,2026-07,2026-07
price anchoring,reinforcement learning from verifiable rewards (rlvr,1,2026-07,2026-07
price anchoring,strategic bargaining,1,2026-07,2026-07
price anchoring,surplus extraction,1,2026-07,2026-07
primitive skills,reinforcement learning,1,2026-07,2026-07
primitive skills,rejection fine-tuning,1,2026-07,2026-07
primitive skills,trace analysis,1,2026-07,2026-07
primitive skills,transformer,1,2026-07,2026-07
principled-vs-statistical distinction,statistical prevalence,1,2026-07,2026-07
predictability,social norms,1,2026-07,2026-07
political orientation,transformer,1,2026-07,2026-07
polynomial approximations,structured newton layer parallelism,1,2026-07,2026-07
polynomial approximations,symbolic bootstraps,1,2026-07,2026-07
polysemanticity,sparse autoencoders (saes,1,2026-07,2026-07
polysemanticity,steering vectors,1,2026-07,2026-07
polysemanticity,superposition,1,2026-07,2026-07
polysemanticity,transformer circuit analysis,1,2026-07,2026-07
polyworkbench,structural grading,1,2026-07,2026-07
population misalignment,xor synergy control,1,2026-07,2026-07
population profile,single-cell perturbation,1,2026-07,2026-07
population profile,weak models,1,2026-07,2026-07
position embedding,region of interest,1,2026-07,2026-07
position embedding,visual reasoning,1,2026-07,2026-07
power status,transformer,1,2026-07,2026-07
position-interpolation-based length generalization,self-similarity,1,2026-07,2026-07
post hallucination reasoning (phr,reasoning dynamics,1,2026-07,2026-07
post hallucination reasoning (phr,semantic coverage,1,2026-07,2026-07
post-hoc score,training-free,1,2026-07,2026-07
post-rl teacher,reinforcement learning,1,2026-07,2026-07
post-rl teacher,weak-to-strong generalization,1,2026-07,2026-07
post-solution confidence,pre-solution confidence,1,2026-07,2026-07
post-training,reinforcement learning,1,2026-07,2026-07
post-training,supervised fine-tuning,1,2026-07,2026-07
post-training acceleration,video diffusion models,1,2026-07,2026-07
posterior belief,worst-case protection,1,2026-07,2026-07
potential-based reward shaping (pbrs,regime-dependent failure,1,2026-07,2026-07
potential-based reward shaping (pbrs,reward signal stationarity,1,2026-07,2026-07
power status,sentiment analysis,1,2026-07,2026-07
position-interpolation-based length generalization,rotary position embeddings (rope,1,2026-07,2026-07
specification grounding,test effectiveness,1,2026-07,2026-07
specification-derived authority,test oracles,1,2026-07,2026-07
spectral attention,stochastic block models,1,2026-07,2026-07
spectral control,stiefel layer,1,2026-07,2026-07
spectral decomposition,transformer-based vision-language models,1,2026-07,2026-07
spectral decomposition,white-box attack,1,2026-07,2026-07
spectral preprocessing,transformer attention,1,2026-07,2026-07
speculative decoding,throughput,1,2026-07,2026-07
speech recognition,supervised training,1,2026-07,2026-07
speech recognition,transformer decoder,1,2026-07,2026-07
speech-to-text alignment,token log probability,1,2026-07,2026-07
spike detection,tabular classifier,1,2026-07,2026-07
stability measures,structural metrics,1,2026-07,2026-07
reinforcement learning,trace analysis,1,2026-07,2026-07
standard operating procedures (sop,toolset,1,2026-07,2026-07
state-coherent screenshot set,state-management complexity,1,2026-07,2026-07
station observation,threat score,1,2026-07,2026-07
station observation,u-net,1,2026-07,2026-07
statistical inverse learning,variational source condition,1,2026-07,2026-07
steering vectors,superposition,1,2026-07,2026-07
steering vectors,sycophancy,1,2026-07,2026-07
steering vectors,transformer circuit analysis,1,2026-07,2026-07
step-level reward,structured feedback,1,2026-07,2026-07
temporal analysis,transformer-based topic modeling,1,2026-07,2026-07
tensor program,wasserstein distance,1,2026-07,2026-07
text-to-cad,visual reasoning,1,2026-07,2026-07
thermal-airflow perturbation,zero-shot attack,1,2026-07,2026-07
threat score,u-net,1,2026-07,2026-07
stance detection,topic-conditional layer normalization,1,2026-07,2026-07
singular value decomposition (svd,spatial bases,1,2026-07,2026-07
singular vectors,spectral decomposition,1,2026-07,2026-07
singular vectors,transformer-based vision-language models,1,2026-07,2026-07
singular vectors,white-box attack,1,2026-07,2026-07
smell encoder,vision-language,1,2026-07,2026-07
social media,video2reaction,1,2026-07,2026-07
social norms,value alignment,1,2026-07,2026-07
soft sensing,task-semantic field factorization,1,2026-07,2026-07
soft sensing,time-series forecasting,1,2026-07,2026-07
soft sensing,variable semantics,1,2026-07,2026-07
softmax,spectral attention,1,2026-07,2026-07
softmax,stochastic block models,1,2026-07,2026-07
source of authority,specification-derived authority,1,2026-07,2026-07
spatio-temporal encoder,temporal convolution module,1,2026-07,2026-07
source-guided candidate-generation,transfer learning,1,2026-07,2026-07
span-annotated corpus,telegram posts,1,2026-07,2026-07
span-annotated corpus,transformer-based models,1,2026-07,2026-07
sparse addressing,state memory capacity,1,2026-07,2026-07
sparse autoencoders (saes,steering vectors,1,2026-07,2026-07
sparse autoencoders (saes,stochastic block steering (sbs,1,2026-07,2026-07
sparse autoencoders (saes,stochastic token steering (sts,1,2026-07,2026-07
sparse autoencoders (saes,superposition,1,2026-07,2026-07
sparse autoencoders (saes,transformer circuit analysis,1,2026-07,2026-07
spatial deictic expressions,vision-language models,1,2026-07,2026-07
spatial gaussian blending,super-resolution,1,2026-07,2026-07
spatial gaussian blending,time-agnostic propagation,1,2026-07,2026-07
spatial understanding,vision-language models,1,2026-07,2026-07
spatio-temporal embedding,transformer,1,2026-07,2026-07
source of authority,test oracles,1,2026-07,2026-07
acceptance rate,joint ar-diffusion objective,1,2026-07,2026-07
acceptance rate,self-speculation decoding,1,2026-07,2026-07
acceptance rate,throughput,1,2026-07,2026-07
acceptance rate,tri-mode language model,1,2026-07,2026-07
time series classification,ucr archive,1,2026-07,2026-07
accuracy,conciseness,1,2026-07,2026-07
accuracy,factual consistency,1,2026-07,2026-07
accuracy,graphical user interface,1,2026-07,2026-07
accuracy,multifactor scoring system,1,2026-07,2026-07
accuracy,privileged context,1,2026-07,2026-07
accuracy,readability,1,2026-07,2026-07
accuracy,reasoning traces,1,2026-07,2026-07
accuracy,self-distillation,1,2026-07,2026-07
throughput,tri-mode language model,1,2026-07,2026-07
accuracy transition,compression,1,2026-07,2026-07
accuracy transition,effective rank,1,2026-07,2026-07
accuracy transition,groking,1,2026-07,2026-07
accuracy transition,layernorm,1,2026-07,2026-07
acoustic modulation,bound-token mechanism,1,2026-07,2026-07
acoustic modulation,discrete autoregressive generation,1,2026-07,2026-07
acoustic modulation,multi-dimensional annotation,1,2026-07,2026-07
acoustic modulation,word-level control,1,2026-07,2026-07
activation,awareness functionals,1,2026-07,2026-07
activation,belief updating,1,2026-07,2026-07
activation,cognitive states,1,2026-07,2026-07
activation,episodic memory,1,2026-07,2026-07
activation,graph property functionals,1,2026-07,2026-07
activation,graph-theoretic representation,1,2026-07,2026-07
accuracy,thinking models,1,2026-07,2026-07
time series classification,transformer-based model,1,2026-07,2026-07
structured canonical lift,symplectic learning,1,2026-07,2026-07
time-series forecasting,variable semantics,1,2026-07,2026-07
token-level explanation,transformer-based model,1,2026-07,2026-07
token-level signals,tool call,1,2026-07,2026-07
tool composition,tool discovery,1,2026-07,2026-07
tool-use failures,toolfailbench,1,2026-07,2026-07
top-k marginals,tree-verification,1,2026-07,2026-07
top-term analyses,topic models,1,2026-07,2026-07
trace analysis,transformer,1,2026-07,2026-07
training-set coverage,weight decay,1,2026-07,2026-07
trajectory planning,transformer-based model,1,2026-07,2026-07
transaction history,verifiable rewards,1,2026-07,2026-07
acceptance rate,forward pass,1,2026-07,2026-07
transformer-based architectures,vision foundation models,1,2026-07,2026-07
transformer-based model,ucr archive,1,2026-07,2026-07
transformer-based vision-language models,white-box attack,1,2026-07,2026-07
typing,verification,1,2026-07,2026-07
uncertainty quantification,visual question answering,1,2026-07,2026-07
uncertainty quantification,visual-token representations,1,2026-07,2026-07
vendorbench-100,zero-shot vision-language models (llms,1,2026-07,2026-07
vision-language model,zero-shot,1,2026-07,2026-07
vision-language model,zero-shot evaluation,1,2026-07,2026-07
visual alignment reward,visual-action alignment reward,1,2026-07,2026-07
visual question answering,visual-token representations,1,2026-07,2026-07
telegram posts,transformer-based models,1,2026-07,2026-07
acceptance rate,autoregressive decoding,1,2026-07,2026-07
acceptance rate,diffusion model,1,2026-07,2026-07
transformer,variational autoencoder,1,2026-07,2026-07
retrieval-augmented generation,transaction history,1,2026-07,2026-07
retrieval-augmented generation,verifiable rewards,1,2026-07,2026-07
retrosynthesis accuracy,structure-aware vocabulary,1,2026-07,2026-07
reversibility,structural tension,1,2026-07,2026-07
reversibility,topological continuity,1,2026-07,2026-07
reward function design,semantic quality,1,2026-07,2026-07
reward function design,syntactic quality,1,2026-07,2026-07
reward hacking,rl gym,1,2026-07,2026-07
reward hacking,self-play,1,2026-07,2026-07
reward shaping,self-play,1,2026-07,2026-07
riemannian mean pooling,symmetric positive definite (spd) manifold,1,2026-07,2026-07
risk score,rotational sweep videos,1,2026-07,2026-07
risk score,transformer,1,2026-07,2026-07
single-rollout sampling,token-level clipping,1,2026-07,2026-07
rl (reinforcement learning,tool-augmented agent,1,2026-07,2026-07
rl benchmark,single-rollout sampling,1,2026-07,2026-07
rl benchmark,token-level clipping,1,2026-07,2026-07
robustness,tool composition,1,2026-07,2026-07
robustness,tool discovery,1,2026-07,2026-07
roc-auc,vendorbench-100,1,2026-07,2026-07
roc-auc,zero-shot vision-language models (llms,1,2026-07,2026-07
role-based policy,sha-256 hash-chained audit log,1,2026-07,2026-07
rollout policy optimization,tree-structured rollout,1,2026-07,2026-07
rollout-guided progressive hard-case optimization,structured safety labels,1,2026-07,2026-07
rotary position embeddings (rope,self-similarity,1,2026-07,2026-07
rotational sweep videos,transformer,1,2026-07,2026-07
routing,spatial vision perception,1,2026-07,2026-07
rule discovery,threshold check,1,2026-07,2026-07
risk-controlled selective answering,uncertainty quantification,1,2026-07,2026-07
reinforcement learning,transaction history,1,2026-07,2026-07
reinforcement learning,verifiable rewards,1,2026-07,2026-07
reinforcement learning,weak-to-strong generalization,1,2026-07,2026-07
reinforcement learning from verifiable rewards (rlvr,strategic bargaining,1,2026-07,2026-07
reinforcement learning from verifiable rewards (rlvr,surplus extraction,1,2026-07,2026-07
rejection fine-tuning,trace analysis,1,2026-07,2026-07
rejection fine-tuning,transformer,1,2026-07,2026-07
relevance anchor,visual token pruning,1,2026-07,2026-07
renyi entropy,shannon entropy,1,2026-07,2026-07
renyi entropy,supervised fine-tuning,1,2026-07,2026-07
repeated execution protocol,text-to-sql,1,2026-07,2026-07
representation sharing,steering vectors,1,2026-07,2026-07
representation sharing,sycophancy,1,2026-07,2026-07
retrieval-augmented generation,task-oriented scenarios,1,2026-07,2026-07
reproducing kernel hilbert space,statistical inverse learning,1,2026-07,2026-07
reproducing kernel hilbert space,variational source condition,1,2026-07,2026-07
requirement disambiguation,retrieval-augmented generation,1,2026-07,2026-07
residual streams,test suite,1,2026-07,2026-07
resource creation,sociolinguistic characteristics,1,2026-07,2026-07
resource-constrained embedded device,small language model,1,2026-07,2026-07
response latency,seamless interaction corpus,1,2026-07,2026-07
restoration quality,synthetic fog generation,1,2026-07,2026-07
restoration quality,tracking,1,2026-07,2026-07
retrieval,source trustworthiness,1,2026-07,2026-07
retrieval,visual question-answering,1,2026-07,2026-07
retrieval-augmented generation,safety guardrails,1,2026-07,2026-07
retrieval-augmented generation,section-aware relevance scoring,1,2026-07,2026-07
retrieval-augmented generation,snowball citation expansion,1,2026-07,2026-07
reproducibility,subspace non-identifiability,1,2026-07,2026-07
self-supervised transformer,spatio-temporal embedding,1,2026-07,2026-07
self-supervised transformer,transformer,1,2026-07,2026-07
semantic alignment channel,speech intelligence,1,2026-07,2026-07
semantic annotation,synchronized trajectory,1,2026-07,2026-07
semantic distortion,watermarking,1,2026-07,2026-07
semantic quality,syntactic quality,1,2026-07,2026-07
semantic segmentation,uav imagery,1,2026-07,2026-07
semantically equivalent code patterns,syntactic attacks,1,2026-07,2026-07
semantically equivalent code patterns,variable naming conventions,1,2026-07,2026-07
semi-autoregressive architecture,speculative decoding,1,2026-07,2026-07
semi-autoregressive architecture,throughput,1,2026-07,2026-07
sentence transformer,zero-shot learning,1,2026-07,2026-07
sentiment analysis,transformer,1,2026-07,2026-07
runbugrun dataset,semantic corruption,1,2026-07,2026-07
sentiment and emotion classification,transformer-based topic modeling,1,2026-07,2026-07
severity phenotyping,synthetic cohort,1,2026-07,2026-07
shannon entropy,supervised fine-tuning,1,2026-07,2026-07
shap explainability,svm classifier,1,2026-07,2026-07
shap explainability,wavelet scattering transform,1,2026-07,2026-07
shared decision making (sdm,temporal discourse reasoning,1,2026-07,2026-07
shot-local story-global tuning objective,shot-role prompt tokens,1,2026-07,2026-07
shot-local story-global tuning objective,text-to-video diffusion transformer,1,2026-07,2026-07
shot-role prompt tokens,text-to-video diffusion transformer,1,2026-07,2026-07
signal reconstruction,spatio-temporal embedding,1,2026-07,2026-07
signal reconstruction,transformer,1,2026-07,2026-07
signal-processing features,spike detection,1,2026-07,2026-07
signal-processing features,tabular classifier,1,2026-07,2026-07
single-cell perturbation,weak models,1,2026-07,2026-07
sentiment and emotion classification,temporal analysis,1,2026-07,2026-07
safety,tool use,1,2026-07,2026-07
safety guardrails,task-oriented scenarios,1,2026-07,2026-07
sample efficiency,transformer,1,2026-07,2026-07
sampling,sketching,1,2026-07,2026-07
scene classification,thermal-airflow perturbation,1,2026-07,2026-07
scene classification,zero-shot attack,1,2026-07,2026-07
scene descriptors,smell encoder,1,2026-07,2026-07
scene descriptors,vision-language,1,2026-07,2026-07
scene-conditioned negative prompts,uncertainty-driven selective refinement,1,2026-07,2026-07
scl,sentiment analysis,1,2026-07,2026-07
search-routing,supervised fine-tuning,1,2026-07,2026-07
section-aware relevance scoring,snowball citation expansion,1,2026-07,2026-07
segmentation,self-supervised pretraining,1,2026-07,2026-07
segmentation,transformer-based architectures,1,2026-07,2026-07
self-supervised transformer,signal reconstruction,1,2026-07,2026-07
selective disclosure,watermarking,1,2026-07,2026-07
self-attention mechanisms,transformer architecture,1,2026-07,2026-07
self-distillation,thinking models,1,2026-07,2026-07
self-evolution module,spatiotemporal analysis,1,2026-07,2026-07
self-reported diagnosis,zero-shot nli,1,2026-07,2026-07
self-speculation decoding,throughput,1,2026-07,2026-07
self-speculation decoding,tri-mode language model,1,2026-07,2026-07
self-supervised encoder,symmetric noise objective,1,2026-07,2026-07
self-supervised learning,self-supervised transformer,1,2026-07,2026-07
self-supervised learning,signal reconstruction,1,2026-07,2026-07
self-supervised learning,spatio-temporal embedding,1,2026-07,2026-07
self-supervised learning,transformer,1,2026-07,2026-07
self-supervised pretraining,transformer-based architectures,1,2026-07,2026-07
self-supervised pretraining,vision foundation models,1,2026-07,2026-07
segmentation,vision foundation models,1,2026-07,2026-07
mean-field residual-scaling law,xor synergy control,1,2026-07,2026-07
measurement validity,multi-agent coordination,1,2026-07,2026-07
measurement validity,planning,1,2026-07,2026-07
measurement validity,safety,1,2026-07,2026-07
measurement validity,tool use,1,2026-07,2026-07
mechanistic interpretability,polysemanticity,1,2026-07,2026-07
mechanistic interpretability,sparse autoencoders (saes,1,2026-07,2026-07
mechanistic interpretability,steering vectors,1,2026-07,2026-07
mechanistic interpretability,superposition,1,2026-07,2026-07
mechanistic interpretability,transformer circuit analysis,1,2026-07,2026-07
medical figure classification,multimodal,1,2026-07,2026-07
medical figure classification,retrieval,1,2026-07,2026-07
medical figure classification,visual question-answering,1,2026-07,2026-07
pedagogical rubric,vex vr,1,2026-07,2026-07
memory poisoning,personal ai agents,1,2026-07,2026-07
memory poisoning,security governance,1,2026-07,2026-07
memory-guided generation,multimodal retrieval,1,2026-07,2026-07
memory-guided generation,retrieval-augmented generation,1,2026-07,2026-07
mentalroberta,redsm5,1,2026-07,2026-07
mentalroberta,self-reported diagnosis,1,2026-07,2026-07
mentalroberta,zero-shot nli,1,2026-07,2026-07
meta-learning,redundant meta-training compute,1,2026-07,2026-07
minimax-regret,optimal policy,1,2026-07,2026-07
minimax-regret,poisson arrival process,1,2026-07,2026-07
minimax-regret,posterior belief,1,2026-07,2026-07
minimax-regret,worst-case protection,1,2026-07,2026-07
minority class,scaffold,1,2026-07,2026-07
misalignment,production traffic,1,2026-07,2026-07
memorization window,training epochs,1,2026-07,2026-07
manipulation policies,motion latents,1,2026-07,2026-07
manipulation policies,point cloud evolution,1,2026-07,2026-07
manipulation policies,spatial geometry,1,2026-07,2026-07
market coupling,mean-field residual-scaling law,1,2026-07,2026-07
market coupling,population misalignment,1,2026-07,2026-07
market coupling,xor synergy control,1,2026-07,2026-07
market discovery,multi-buyer markets,1,2026-07,2026-07
market discovery,price anchoring,1,2026-07,2026-07
market discovery,reinforcement learning from verifiable rewards (rlvr,1,2026-07,2026-07
market discovery,strategic bargaining,1,2026-07,2026-07
market discovery,surplus extraction,1,2026-07,2026-07
mask-conditioned,one-dimensional transformer autoencoder,1,2026-07,2026-07
masked language model,policy gradient,1,2026-07,2026-07
mean-field residual-scaling law,population misalignment,1,2026-07,2026-07
masked language model,transformer,1,2026-07,2026-07
masked sequence,on-policy,1,2026-07,2026-07
masked sequence,privileged information,1,2026-07,2026-07
masked sequence,self-distillation,1,2026-07,2026-07
mass-conserving fuel transport,physics-guided machine learning,1,2026-07,2026-07
mass-conserving fuel transport,rate-of-spread estimation,1,2026-07,2026-07
